method,idx,t_encode,t_decode,t_total
semcom,0,0.01364250799997535,0.00042922000102407765,0.014071728000999428
semcom,1,0.013488565000443486,0.0003394049999769777,0.013827970000420464
semcom,2,0.013462379998600227,0.00030818300001556054,0.013770562998615787
semcom,3,0.013439861999358982,0.0003342199997860007,0.013774081999144983
semcom,4,0.013421546000245144,0.0002832019999914337,0.013704748000236577
semcom,5,0.013407954000285827,0.0003001650002261158,0.013708119000511942
semcom,6,0.013430101998892496,0.0003039619987248443,0.01373406399761734
semcom,7,0.01348930600033782,0.0002934240001195576,0.013782730000457377
semcom,8,0.013564304999817978,0.0002881459986383561,0.013852450998456334
semcom,9,0.013650527000208967,0.0002917199999501463,0.013942247000159114
semcom,10,0.013487082998835831,0.0003135350016236771,0.013800618000459508
semcom,11,0.013638119999086484,0.0002632199993968243,0.013901339998483309
semcom,12,0.013527269000405795,0.0002763500015134923,0.013803619001919287
semcom,13,0.013518657999156858,0.0002522949998819968,0.013770952999038855
semcom,14,0.013532971999666188,0.0003150159991491819,0.01384798799881537
semcom,15,0.013393139999607229,0.0002871830001822673,0.013680322999789496
semcom,16,0.013520250000510714,0.0002807199998642318,0.013800970000374946
semcom,17,0.01337425100064138,0.0002844419996108627,0.013658693000252242
semcom,18,0.01352154599953792,0.000280960999589297,0.013802506999127218
semcom,19,0.013359194999793544,0.00028442500115488656,0.013643620000948431
semcom,20,0.01359684199996991,0.00030110999978205655,0.013897951999751967
semcom,21,0.013859969998520683,0.0003065350010729162,0.014166504999593599
semcom,22,0.013506102000974352,0.0002993870002683252,0.013805489001242677
semcom,23,0.013434917000267887,0.00026307199914299417,0.013697988999410882
semcom,24,0.013492602000042098,0.00030155400054354686,0.013794156000585645
semcom,25,0.01344967600016389,0.0002991090004798025,0.013748785000643693
semcom,26,0.01335489899975073,0.00030742399940209,0.01366232299915282
semcom,27,0.01412863599944103,0.000297239001156413,0.014425875000597443
semcom,28,0.013493212998582749,0.000306163999994169,0.013799376998576918
semcom,29,0.013392603001193493,0.0002980170011142036,0.013690620002307696
semcom,30,0.013373732001127792,0.0002929980000772048,0.013666730001204996
semcom,31,0.013463473000228987,0.0003059050013689557,0.013769378001597943
semcom,32,0.013410936000582296,0.0002759609997156076,0.013686897000297904
semcom,33,0.013387491999310441,0.00028562799889186863,0.01367311999820231
semcom,34,0.01337410299856856,0.000270054000793607,0.013644156999362167
semcom,35,0.013392732000284013,0.0002728319996094797,0.013665563999893493
semcom,36,0.01336804799939273,0.00027770199994847644,0.013645749999341206
semcom,37,0.013384862000748399,0.00028459100030886475,0.013669453001057263
semcom,38,0.013461991000440321,0.0002765909994195681,0.013738581999859889
semcom,39,0.013348010001209332,0.0002689060002012411,0.013616916001410573
semcom,40,0.013649934000568464,0.0002709799991862383,0.013920913999754703
semcom,41,0.013310102998730144,0.00028086899874324445,0.013590971997473389
semcom,42,0.013373658999626059,0.00026488799994695,0.013638546999573009
semcom,43,0.013378658000874566,0.0002747210000961786,0.013653379000970745
semcom,44,0.013349695000215434,0.00026601700119499583,0.01361571200141043
semcom,45,0.013466269001582987,0.0002414800001133699,0.013707749001696357
semcom,46,0.013546027999836951,0.00026912800058198627,0.013815156000418938
semcom,47,0.013371547000133432,0.0002568320014688652,0.013628379001602298
semcom,48,0.013333177001186414,0.0002714789989113342,0.013604656000097748
semcom,49,0.013669877998836455,0.00030234999940148555,0.01397222799823794
semcom,50,0.013510324999515433,0.0002878499999496853,0.013798174999465118
semcom,51,0.0135350099990319,0.0002809429988701595,0.013815952997902059
semcom,52,0.013388621000558487,0.0002748499991866993,0.013663470999745186
semcom,53,0.013450491000185139,0.0002662759998202091,0.013716767000005348
semcom,54,0.013453249999656691,0.0002696089995879447,0.013722858999244636
semcom,55,0.013404066001385218,0.0003017009985342156,0.013705766999919433
semcom,56,0.013672507999217487,0.0002817210006469395,0.013954228999864426
semcom,57,0.01344250900001498,0.0002688129989110166,0.013711321998925996
semcom,58,0.013348083999517257,0.00027410999973653816,0.013622193999253795
semcom,59,0.013574675000199932,0.00026938700102618895,0.01384406200122612
