image,method,idx,t_encode,t_decode,t_total
0,semcom,3,0.6645314540073741,0.0005877150106243789,0.6651191690179985
1,semcom,10,0.6652675730001647,0.0005519740079762414,0.6658195470081409
2,semcom,21,0.6631906749971677,0.0004959930083714426,0.6636866680055391
3,semcom,27,0.6644369360001292,0.0004888450057478622,0.6649257810058771
4,semcom,44,0.6407903869985603,0.0004912159929517657,0.641281602991512
5,semcom,52,0.6873941410012776,0.0005055309884482995,0.6878996719897259
6,semcom,74,0.640702758988482,0.0004988639993825927,0.6412016229878645
7,semcom,90,0.6596503120090347,0.0005144559981999919,0.6601647680072347
8,semcom,97,0.6582879589986987,0.0004965120024280623,0.6587844710011268
9,semcom,98,0.667516692992649,0.0004833269922528416,0.6680000199849019
10,semcom,6,0.667931353993481,0.0005461600085254759,0.6684775140020065
11,semcom,9,0.6664060580078512,0.0004808079975191504,0.6668868660053704
12,semcom,37,0.6757328090025112,0.00048541899013798684,0.6762182279926492
13,semcom,66,0.6396908090100624,0.0005220860039116815,0.640212895013974
14,semcom,81,0.6636739090026822,0.0004831600090255961,0.6641570690117078
15,semcom,82,0.66304465700523,0.0004804760101251304,0.6635251330153551
16,semcom,104,0.666078802998527,0.00047993799671530724,0.6665587409952423
17,semcom,105,0.6601601209986256,0.0004899009945802391,0.6606500219932059
18,semcom,114,0.6677279110008385,0.0004950310103595257,0.668222942011198
19,semcom,122,0.6628897880000295,0.0004869190015597269,0.6633767070015892
20,semcom,25,0.6386540629900992,0.0004938639904139563,0.6391479269805131
21,semcom,35,0.6716458989976672,0.0006376960081979632,0.6722835950058652
22,semcom,65,0.6407529429998249,0.0004921420040773228,0.6412450850039022
23,semcom,67,0.6635567799967248,0.0004882899957010522,0.6640450699924259
24,semcom,70,0.6646224139985861,0.00048752999282442033,0.6651099439914105
25,semcom,75,0.663367986009689,0.0004955490003339946,0.663863535010023
26,semcom,84,0.6649911139975302,0.0004912339936709031,0.6654823479912011
27,semcom,86,0.6504216530011036,0.0005679559981217608,0.6509896089992253
28,semcom,113,0.6717325999925379,0.0004936610057484359,0.6722262609982863
29,semcom,118,0.6418199480103794,0.0004889190022367984,0.6423088670126162
30,semcom,0,0.6590419860003749,0.0004598459927365184,0.6595018319931114
