image,method,idx,t_encode,t_decode,t_total
0,semcom,0,0.6702700799942249,0.0006616579921683297,0.6709317379863933
1,semcom,1,0.6662095029896591,0.0004855680017499253,0.666695070991409
2,semcom,2,0.6711238650023006,0.0004613089986378327,0.6715851740009384
3,semcom,3,0.6784685120073846,0.00048390100710093975,0.6789524130144855
4,semcom,4,0.6592593509994913,0.0004904380039079115,0.6597497890033992
5,semcom,5,0.6672454340005061,0.0004818640009034425,0.6677272980014095
6,semcom,6,0.662300016003428,0.0005612889945041388,0.6628613049979322
7,semcom,7,0.665150368004106,0.0006133620045147836,0.6657637300086208
8,semcom,8,0.6381483079894679,0.00048125300963874906,0.6386295609991066
9,semcom,9,0.6647423550020903,0.0004777349968208,0.6652200899989111
10,semcom,10,0.6604487440054072,0.0004738829884445295,0.6609226269938517
11,semcom,11,0.6613232689996948,0.0004963829996995628,0.6618196519993944
12,semcom,12,0.669695958000375,0.0004804759955732152,0.6701764339959482
13,semcom,13,0.6726866420067381,0.0004800870083272457,0.6731667290150654
14,semcom,14,0.6813282900111517,0.00047406800149474293,0.6818023580126464
15,semcom,15,0.6447959439974511,0.00047571599134244025,0.6452716599887935
16,semcom,16,0.652127016990562,0.0005413259932538494,0.6526683429838158
17,semcom,17,0.6677413709985558,0.0004878830077359453,0.6682292540062917
18,semcom,18,0.6580473670037463,0.0005465300055220723,0.6585938970092684
19,semcom,19,0.6735037609905703,0.0004741609882330522,0.6739779219788034
20,semcom,20,0.6637352200050373,0.000484215997857973,0.6642194360028952
21,semcom,21,0.6678210370009765,0.00048130800132639706,0.6683023450023029
22,semcom,22,0.6617914289963664,0.0004790130042238161,0.6622704420005903
23,semcom,23,0.6396479730028659,0.00047610499314032495,0.6401240779960062
24,semcom,24,0.6613591019995511,0.0004868459946010262,0.6618459479941521
25,semcom,25,0.6614122680039145,0.00047345699567813426,0.6618857249995926
26,semcom,26,0.6749752600007923,0.00048016100481618196,0.6754554210056085
27,semcom,27,0.6660456149984384,0.00047893900773487985,0.6665245540061733
28,semcom,28,0.6692623340059072,0.00048008600424509495,0.6697424200101523
29,semcom,29,0.6623497559921816,0.00047053099842742085,0.662820286990609
30,semcom,30,0.6660513749957317,0.00047145699500106275,0.6665228319907328
31,semcom,31,0.636341107005137,0.0004884009977104142,0.6368295080028474
32,semcom,32,0.6412715449987445,0.0004804009950021282,0.6417519459937466
33,semcom,33,0.6733087259926833,0.0005471409967867658,0.6738558669894701
34,semcom,34,0.6610292169934837,0.0004757900023832917,0.661505006995867
35,semcom,35,0.6706640010088449,0.0004948819987475872,0.6711588830075925
36,semcom,36,0.6668491419986822,0.0005479370011016726,0.6673970789997838
37,semcom,37,0.6638150149956346,0.00047728999925311655,0.6642923049948877
38,semcom,38,0.6716005439957371,0.0004914939927402884,0.6720920379884774
39,semcom,39,0.6406427189940587,0.00047690099745523185,0.6411196199915139
40,semcom,40,0.6592425730050309,0.0004867529933108017,0.6597293259983417
41,semcom,41,0.6662907050049398,0.0004428649990586564,0.6667335700039985
42,semcom,42,0.6618743529979838,0.00048216100549325347,0.6623565140034771
43,semcom,43,0.6616864310053643,0.00047782700858078897,0.6621642580139451
44,semcom,44,0.6599663230008446,0.00047901200014166534,0.6604453350009862
45,semcom,45,0.6606879429891706,0.00047212300705723464,0.6611600659962278
46,semcom,46,0.6349151440081187,0.00048447499284520745,0.6353996190009639
47,semcom,47,0.6603785949992016,0.0004804380005225539,0.6608590329997241
48,semcom,48,0.6574335030018119,0.0005088080069981515,0.6579423110088101
49,semcom,49,0.664269619010156,0.00047795700083952397,0.6647475760109955
50,semcom,50,0.6604407240083674,0.0004837160086026415,0.66092444001697
51,semcom,51,0.6674151899933349,0.00047651199565734714,0.6678917019889923
52,semcom,52,0.6673661529930541,0.0005346039979485795,0.6679007569910027
53,semcom,53,0.6734778529935284,0.00044469798740465194,0.673922550980933
54,semcom,54,0.6601244870107621,0.0004779760056408122,0.6606024630164029
55,semcom,55,0.6372492810041877,0.00048429000889882445,0.6377335710130865
56,semcom,56,0.6602796889928868,0.0004785490018548444,0.6607582379947416
57,semcom,57,0.6609881430049427,0.00047493800229858607,0.6614630810072413
58,semcom,58,0.6676828899944667,0.0004926970141241327,0.6681755870085908
59,semcom,59,0.6696310869883746,0.0004785490018548444,0.6701096359902294
